"MUN_NOME","SER_NOME","total_alunos"
"Serra","2º Ano EF",7181
"Serra","3º Ano EF",6969
"Serra","1º Ano EF",6580
"Serra","4º Ano EF",6403
"Serra","5º Ano EF",6021
"Vila Velha","4º Ano EF",4666
"Vila Velha","5º Ano EF",4628
"Cariacica","2º Ano EF",4515
"Vila Velha","2º Ano EF",4488
"Cariacica","3º Ano EF",4487
"Vila Velha","3º Ano EF",4479
"Vila Velha","8º Ano EF",4338
"Vila Velha","6º Ano EF",4311
"Vila Velha","7º Ano EF",4292
"Cariacica","6º Ano EF",4066
"Vila Velha","1º Ano EF",3927
"Vila Velha","9º Ano EF",3677
"Vitória","4º Ano EF",3062
"Cariacica","4º Ano EF",3019
"Vitória","5º Ano EF",2994
"Vitória","6º Ano EF",2985
"Vitória","3º Ano EF",2963
"Vitória","2º Ano EF",2918
"Vitória","7º Ano EF",2799
"Cariacica","1º Ano EF",2798
"Vitória","1º Ano EF",2781
"Vitória","8º Ano EF",2728
"Cariacica","9º Ano EF",2670
"Cariacica","5º Ano EF",2623
"Linhares","4º Ano EF",2415
"Linhares","5º Ano EF",2360
"Linhares","3º Ano EF",2312
"Vitória","9º Ano EF",2271
"Cariacica","7º Ano EF",2212
"Linhares","2º Ano EF",2157
"Cachoeiro de Itapemirim","4º Ano EF",2154
"Linhares","6º Ano EF",2148
"Cachoeiro de Itapemirim","5º Ano EF",2139
"Cachoeiro de Itapemirim","3º Ano EF",2078
"Cariacica","8º Ano EF",2062
"Cachoeiro de Itapemirim","2º Ano EF",2008
"Guarapari","5º Ano EF",1784
"Linhares","7º Ano EF",1782
"São Mateus","3º Ano EF",1729
"Guarapari","4º Ano EF",1700
"São Mateus","2º Ano EF",1649
"São Mateus","4º Ano EF",1624
"Guarapari","2º Ano EF",1606
"Cachoeiro de Itapemirim","6º Ano EF",1605
"Guarapari","7º Ano EF",1577
"Linhares","8º Ano EF",1571
"Guarapari","6º Ano EF",1520
"Guarapari","8º Ano EF",1516
"Guarapari","3º Ano EF",1501
"Cachoeiro de Itapemirim","7º Ano EF",1449
"São Mateus","5º Ano EF",1443
"Aracruz","3º Ano EF",1362
"Aracruz","4º Ano EF",1359
"Aracruz","5º Ano EF",1356
"Aracruz","2º Ano EF",1336
"Guarapari","9º Ano EF",1319
"Cachoeiro de Itapemirim","8º Ano EF",1283
"Colatina","2º Ano EF",1279
"Linhares","1º Ano EF",1251
"Linhares","9º Ano EF",1247
"Colatina","6º Ano EF",1215
"Colatina","3º Ano EF",1205
"Cachoeiro de Itapemirim","1º Ano EF",1184
"Aracruz","1º Ano EF",1177
"Colatina","1º Ano EF",1124
"Colatina","4º Ano EF",1101
"Cachoeiro de Itapemirim","9º Ano EF",1050
"Viana","2º Ano EF",1034
"Colatina","5º Ano EF",1003
"Aracruz","7º Ano EF",986
"Aracruz","6º Ano EF",973
"São Mateus","1º Ano EF",936
"Aracruz","8º Ano EF",914
"Colatina","7º Ano EF",897
"Colatina","8º Ano EF",883
"São Mateus","6º Ano EF",881
"São Mateus","7º Ano EF",859
"Aracruz","9º Ano EF",854
"Colatina","9º Ano EF",832
"São Mateus","8º Ano EF",772
"Marataízes","4º Ano EF",730
"Marataízes","5º Ano EF",724
"Marataízes","6º Ano EF",693
"Itapemirim","4º Ano EF",688
"Itapemirim","5º Ano EF",675
"Nova Venécia","2º Ano EF",666
"Marataízes","3º Ano EF",665
"Itapemirim","3º Ano EF",659
"Viana","9º Ano EF",656
"Itapemirim","2º Ano EF",653
"Santa Maria de Jetibá","2º Ano EF",646
"Nova Venécia","3º Ano EF",637
"Nova Venécia","4º Ano EF",631
"Marataízes","2º Ano EF",612
"São Mateus","9º Ano EF",611
"Santa Maria de Jetibá","3º Ano EF",610
"Nova Venécia","5º Ano EF",602
"Itapemirim","6º Ano EF",600
"Viana","5º Ano EF",587
"Marataízes","7º Ano EF",583
"Barra de São Francisco","4º Ano EF",560
"Marataízes","8º Ano EF",555
"Nova Venécia","7º Ano EF",554
"Jaguaré","5º Ano EF",551
"Itapemirim","7º Ano EF",544
"Barra de São Francisco","3º Ano EF",523
"Barra de São Francisco","5º Ano EF",517
"Nova Venécia","9º Ano EF",516
"Nova Venécia","8º Ano EF",513
"Jaguaré","3º Ano EF",512
"Viana","1º Ano EF",506
"Barra de São Francisco","2º Ano EF",495
"Jaguaré","4º Ano EF",495
"Nova Venécia","6º Ano EF",494
"Jaguaré","1º Ano EF",486
"Sooretama","2º Ano EF",480
