"ESC_NOME","MUN_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"EMPEF BREJO GRANDE DO SUL","Itapemirim",19,1484,36,97.63
"EMPEF ROZARIA DA SILVEIRA NUNES","Itapemirim",28,2326,66,97.24
"UMEF PROFESSOR ERNANI SOUZA","Vila Velha",365,25904,2152,92.33
"EMEIEF SANTA LUZIA DO NORTE","Ecoporanga",35,2479,221,91.81
"EMPEF SAO RAFAEL","Domingos Martins",15,1132,108,91.29
"EEEFM MARLENE BRANDAO","Brejetuba",56,3729,435,89.55
"EMEIF PR. LIBERALINO DE SOUSA PROÊZA","Brejetuba",27,1595,195,89.11
"EEEFM José Corrente","Alegre",36,2583,317,89.07
"EUMEF CABECEIRA DO CORREGO BOLIVIA","Governador Lindenberg",16,1161,147,88.76
"EMUEIEF ALTO BATUTA","Baixo Guandu",27,1823,237,88.5
"EEEFM ALARICO JOSE DE LIMA","Nova Venécia",36,2355,309,88.4
"EMPEIEF CACHOEIRINHA","Rio Novo do Sul",17,1273,167,88.4
"EMEF FAZENDA BOA VISTA","Pancas",15,1058,142,88.17
"EMEIEF FAZENDA ALBERTO LITTIG","Laranja da Terra",13,986,142,87.41
"EEEFM JANUÁRIO RIBEIRO ","Pancas",51,2767,399,87.4
"EEEFM MARGEM DO ITAUNINHAS","Pinheiros",15,1017,151,87.07
"EMEF CRUBIXA","Alfredo Chaves",30,2192,328,86.98
"EEFM Padre Afonso Braz","Iúna",65,4265,643,86.9
"EMEIEF ANGELO BRAVIN","Marilândia",41,2647,405,86.73
"EEEFM José Teixeira Fialho","Ecoporanga",30,1935,297,86.69
"EMUEF O FRADE E A FREIRA","Itapemirim",28,1903,297,86.5
"EEEFM SOBRADINHO","Boa Esperança",76,4795,777,86.06
"EMEF BELA AURORA DO PANCAS","Pancas",16,1084,176,86.03
"EP SAO SEBASTIAO","Água Doce do Norte",14,1032,168,86
"ES- EEEF CORREGO DO CEDRO - Estadual","Conceição da Barra",25,1283,213,85.76
"EEPEF MARIA OLINDA DE MENEZES","Pinheiros",24,1535,261,85.47
"EEEFM Elvira Barros","Afonso Cláudio",68,4399,753,85.38
"EMEIF DR ORLINDO FRANCISCO BORGES","João Neiva",69,4287,741,85.26
"EEEFM PROF HERMANN BERGER","Santa Maria de Jetibá",91,5627,977,85.21
"EEEF VIRGINIO PEREIRA","Serra",213,14300,2486,85.19
"EMEF MONTES CLAROS","Pancas",42,2787,485,85.18
"EMPEF WASCHINGTON DONDONI","Vila Pavão",14,912,160,85.07
"EEUEF CORREGO BLEY","São Gabriel da Palha",17,1075,189,85.05
"EMEIEF FAZENDA SANTA HELENA","São Domingos do Norte",20,1185,211,84.89
"EMEIF Maria do Carmo Tiradentes","Alegre",18,977,175,84.81
"EEEF PREFEITO JOSE MARIA MIGUEL FEU ROSA","Serra",111,6842,1246,84.59
"EEEFM CAMPINHO","Serra",136,8739,1645,84.16
"EMEF São José do Jundiá","Pinheiros",230,16338,3090,84.1
"EMEB REVERENDO JADER GOMES COELHO","Cachoeiro de Itapemirim",360,23123,4385,84.06
"EEEFM GRACA ARANHA","Santa Maria de Jetibá",335,21711,4125,84.03
"EMEIF CORREGO DO CEDRO","Brejetuba",37,2381,455,83.96
"EEEF FRANCISCO ALVES MENDES","Serra",195,11682,2240,83.91
"EEEFM GETULIO PIMENTEL LOUREIRO","Serra",88,5277,1013,83.9
"EMEIEF ALLAN - KARDEC BITENCOURT DIAS","Divino de São Lourenço",89,5880,1136,83.81
"EEEF Cotaxé ","Ecoporanga",21,1052,204,83.76
"EMEB MARIANA DA PURIFICACAO SIMOES","Anchieta",29,1928,380,83.54
"EMEIEF JOSEPHIR BOSCHETTI","São Roque do Canaã",89,4522,910,83.25
"EEEFM GISELA SALLOKER FAYET","Domingos Martins",90,5805,1187,83.02
"EMEF ULISSES DOS SANTOS FILHO ","Viana",60,3130,642,82.98
"EEEF Graúna","Itapemirim",89,5698,1170,82.96
"EEEF CORREGO QUEIXADA","São Gabriel da Palha",29,1778,366,82.93
"EEEFM PONTO DO ALTO","Domingos Martins",82,5185,1071,82.88
"ES- EEEF VALDICIO BARBOSA DOS SANTOS - Estadual","Conceição da Barra",16,987,205,82.8
"EMEIEF NOBERTO KLUG","Laranja da Terra",28,1879,393,82.7
"EEEFM Professora Célia Teixeira do Carmo","Alegre",81,5052,1064,82.6
"EMEF CELITA BASTOS GARCIA","Alfredo Chaves",10,831,177,82.44
"EMEF HENOC PEREIRA","Pancas",388,25569,5451,82.43
"EM ANITO GOMES TEIXEIRA","São José do Calçado",35,2298,490,82.42
"EEEFM José Giestas","Afonso Cláudio",57,3516,752,82.38
"EMEF ELIEZER BATISTA","Cariacica",235,13460,2884,82.35
"EEEF Santa Terezinha","Ecoporanga",25,1481,319,82.28
"EEEFM MESTRE ALVARO","Serra",188,11341,2451,82.23
"EEEFM Joassuba Sr. Antônio Patricio de Fontoura","Ecoporanga",54,3287,713,82.18
"EMEB PROSPERIDADE","Vargem Alta",46,2738,594,82.17
"EMEIEF OSCAR AGNER","Pancas",28,1741,379,82.12
"EMEB PEDRO JOSE VIEIRA","Mimoso do Sul",107,6879,1505,82.05
"EMEF PROF JOSUE BALDOTTO","Itarana",45,2563,561,82.04
"EM ARREPENDIDO","Afonso Cláudio",29,1974,434,81.98
"EMEF GUSTAVO AMBRUST","Alto Rio Novo",261,16999,3741,81.96
"UMEF ANTONIA MALBAR","Vila Velha",358,22747,5013,81.94
"EMEIEF LARANJA DA TERRA","Laranja da Terra",31,2188,484,81.89
"EMEIEF HELENA ALMOCDICE VALADAO","Ibatiba",349,19553,4343,81.83
"EEEFM PROFª NÉA MONTEIRO COSTA","Colatina",109,7132,1596,81.71
"EMEF ENGANO","Alfredo Chaves",48,3528,792,81.67
"EEEF VALERIO","Vila Valério",137,8520,1924,81.58
"CEMEIF SATURNINO LOURENCO","Brejetuba",24,1426,322,81.58
"EMEIF Ruth Alice","Alegre",195,11275,2553,81.54
"EMEF ADVENTISTA DE MOROBA","São Domingos do Norte",20,1382,314,81.49
"EMEF Professor Lellis","Alegre",319,21960,5012,81.42
"EEEFM PROFESSORA MARIA OLINDA DE OLIVEIRA MENEZES","Serra",37,1999,457,81.39
"EEEFM JOAQUIM CAETANO DE PAIVA","Laranja da Terra",59,3294,754,81.37
"EM ANEDINA BRETAS CORREA","Mantenópolis",99,6721,1543,81.33
"EMEB ELISEU LOFÊGO","Cachoeiro de Itapemirim",332,21467,4933,81.31
"EPM ENEDINO MONTEIRO","São Mateus",22,1320,304,81.28
"EMPEF EMILIA ANA DE LYRIO","Guarapari",34,1885,435,81.25
"EMPEF ARTULINO XAVIER DA COSTA","Ibitirama",37,2396,556,81.17
"EMUEF PENHA","Itapemirim",24,1315,305,81.17
"EEEFM MARIA JOSE ZOUAIN DE MIRANDA","Serra",28,1998,466,81.09
"EEEFM ALTO RIO POSSMOSER","Santa Maria de Jetibá",104,5971,1401,81
"ES- CÓRREGO DE SANTA MARIA - Estadual","São Mateus",62,3859,905,81
"EMEIEF SANTA LUCIA","Presidente Kennedy",53,3439,809,80.96
"EMEF MATA FRIA","Conceição do Castelo",29,1941,459,80.88
"EMEIEF MARLUCE BIANCHI DE SOUZA VIANA","Itapemirim",205,13742,3254,80.85
"EMEF TANCREDO ALMEIDA NEVES","Serra",205,13404,3178,80.83
"EMEIEF FAZENDA CAMILO BRIDI","Itarana",47,3001,715,80.76
"EMEF WASHINGTON MARTINS FILHO","Viana",50,2646,634,80.67
"EM IDOLINO DA FONSECA LAMAS","Afonso Cláudio",190,11975,2877,80.63
"EEEFM MARIA PENEDO","Serra",213,12844,3098,80.57
"EMEF DRº RENATO ARAUJO MAIA","Nova Venécia",258,16633,4023,80.52
"UMEF ANTONIO PINTO RODRIGUES","Vila Velha",328,21053,5123,80.43
"EMUEF CORREGO SANTA FILOMENA","Vila Pavão",14,877,215,80.31
"EMEIEF UNIDOCENTE GALOS","Presidente Kennedy",16,870,214,80.26
"EMEIF MARIA DE LURDES AZEREDO","Brejetuba",19,1145,283,80.18
"EMEIEF FREI ISAIAS LEGGIO DA RAGUSA","Colatina",166,10139,2513,80.14
"EMUEF ALTO RECREIO","Santa Maria de Jetibá",16,1096,272,80.12
"EMEBTI SANTA MARIA","Vargem Alta",38,2393,595,80.09
"EEEFM SAO JOAO DO SOBRADO","Pinheiros",77,4574,1138,80.08
"EMEIEF GOEMBE","Anchieta",22,1428,356,80.04
"EMEB DUAS BARRAS","Anchieta",51,3278,822,79.95
"EMEIEF CORREGO DA TABUA","Laranja da Terra",20,1380,348,79.86
"EMEF SOTECO","Viana",25,1552,392,79.84
"CENTRO MUNICIPAL DE ALFABETIZACAO BAIRRO BRASILIA","Montanha",386,22448,5674,79.82
"EMEIEF BARRA DO JEQUITIBA","Laranja da Terra",19,1198,306,79.65
"EMEIEF BENILDO BRAGATTO","Colatina",198,10869,2803,79.5
"EMEIEF BERNARDO MANTOVANELLI","Vila Valério",63,3745,967,79.48
"EMEF PROF MARCOS BRUNELLI DA ROCHA","Pedro Canário",306,19342,5008,79.43
"EM ABRAHAO SALEME","Afonso Cláudio",77,4985,1295,79.38
"EMEIEF FREI JOSE OSES","Castelo",347,21030,5468,79.36
