"MUN_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"Alegre",1322,81531,23125,77.9
"Pancas",1083,65725,18759,77.8
"Brejetuba",702,43986,13124,77.02
"Dores do Rio Preto",574,34085,11081,75.47
"Itarana",625,37065,12295,75.09
"Divino de São Lourenço",320,19029,6317,75.08
"Ecoporanga",1170,68199,24229,73.79
"Ibatiba",1817,104690,38086,73.32
"Mantenópolis",842,48349,17857,73.03
"Pedro Canário",1741,99635,36957,72.94
"Rio Novo do Sul",735,42194,15788,72.77
"Itaguaçu",809,46354,17478,72.62
"Alto Rio Novo",592,34215,12905,72.61
"Água Doce do Norte",794,46011,17543,72.4
"Iconha",532,30705,12023,71.86
"Conceição do Castelo",819,46937,18843,71.35
"Muqui",1003,61127,24737,71.19
"Águia Branca",1045,62995,25597,71.11
"Marilândia",558,30604,12444,71.09
"Jerônimo Monteiro",835,46813,19161,70.96
"Irupi",574,31186,12892,70.75
"Alfredo Chaves",710,41908,17454,70.6
"Mimoso do Sul",656,37252,15510,70.6
"Bom Jesus do Norte",383,22840,9656,70.29
"Laranja da Terra",765,46739,20055,69.97
"Barra de São Francisco",2517,141126,61216,69.75
"Vargem Alta",821,46720,20416,69.59
"Afonso Cláudio",2208,135174,59600,69.4
"São Roque do Canaã",999,48571,21665,69.15
"Ibiraçu",702,38532,17192,69.15
"Venda Nova do Imigrante",1906,110910,49484,69.15
"Santa Maria de Jetibá",2777,157920,70610,69.1
"Governador Lindenberg",784,42394,19010,69.04
"São Domingos do Norte",995,58186,26792,68.47
"Iúna",2068,112570,52426,68.23
"Serra",33134,1718181,817525,67.76
"Ibitirama",755,41457,19771,67.71
"Anchieta",2885,168974,82810,67.11
"Nova Venécia",5076,300225,147313,67.08
"Itapemirim",5057,295287,145565,66.98
"Ponto Belo",484,27234,13674,66.57
"Santa Leopoldina",963,52874,27000,66.2
"Pinheiros",2660,155291,79337,66.19
"Vila Valério",1639,91833,47087,66.1
"Presidente Kennedy",1885,109934,56510,66.05
"Santa Teresa",2110,120072,63426,65.44
"Boa Esperança",1220,67176,36496,64.8
"Colatina",9536,539794,296630,64.54
"Domingos Martins",3033,172722,94922,64.53
"Marataízes",5414,306708,172218,64.04
"Muniz Freire",1857,100830,56774,63.98
"Vila Pavão",1042,58716,33140,63.92
"Montanha",1686,88889,51033,63.53
"São José do Calçado",1173,64857,38169,62.95
"São Gabriel da Palha",2852,152751,90679,62.75
"Castelo",3484,192552,116442,62.32
"Mucurici",606,32046,19832,61.77
"São Mateus",10493,551774,348692,61.28
"Guaçuí",2804,150810,95320,61.27
"Apiacá",685,37609,23769,61.27
"Marechal Floriano",1790,96857,61329,61.23
"Rio Bananal",2618,141480,89744,61.19
"Fundão",1037,51614,33540,60.61
"Baixo Guandu",2691,141571,92179,60.57
"João Neiva",748,37508,24436,60.55
"Piúma",2994,156109,102027,60.48
"Jaguaré",3645,187312,122958,60.37
"Viana",3256,158736,104923,60.21
"Vitória",25418,1307374,888662,59.53
"Aracruz",10307,528562,361492,59.39
"Cachoeiro de Itapemirim",14945,770182,529808,59.25
"Vila Velha",38676,1924664,1380139,58.24
"Atílio Vivácqua",755,37054,26716,58.11
"Guarapari",12919,507891,372759,57.67
"Linhares",17239,871642,643126,57.54
"Conceição da Barra",3800,194590,143740,57.51
"Cariacica",28447,1348011,1064440,55.88
"Sooretama",3751,175035,154167,53.17
