"DIS_NOME","SER_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"Língua Portuguesa","1º Ano EF",36443,829948,287978,74.24
"Língua Portuguesa","2º Ano EF",47408,1378951,446445,75.54
"Língua Portuguesa","3º Ano EF",44385,1281948,563548,69.46
"Língua Portuguesa","4º Ano EF",42247,1045928,705906,59.7
"Língua Portuguesa","5º Ano EF",43256,1060021,771589,57.87
"Língua Portuguesa","6º Ano EF",28388,751894,608158,55.28
"Língua Portuguesa","7º Ano EF",24600,638682,532098,54.55
"Língua Portuguesa","8º Ano EF",24421,654790,544564,54.6
"Língua Portuguesa","9º Ano EF",22185,669215,422651,61.29
"Matemática","1º Ano EF",36440,934738,182372,83.67
"Matemática","2º Ano EF",47383,1487401,337684,81.5
"Matemática","3º Ano EF",44387,1321499,522511,71.66
"Matemática","4º Ano EF",42236,1152822,597674,65.86
"Matemática","5º Ano EF",43230,1088767,741963,59.47
"Matemática","6º Ano EF",28359,664335,693400,48.93
"Matemática","7º Ano EF",24565,495185,672917,42.39
"Matemática","8º Ano EF",24414,466052,732470,38.89
"Matemática","9º Ano EF",22188,434889,658718,39.77
