"MUN_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"Alegre",1322,81531,23125,77.9
"Pancas",1083,65725,18759,77.8
"Brejetuba",702,43986,13124,77.02
"Dores do Rio Preto",574,34085,11081,75.47
"Itarana",625,37065,12295,75.09
"Divino de São Lourenço",320,19029,6317,75.08
"Ecoporanga",1170,68199,24229,73.79
"Ibatiba",1817,104690,38086,73.32
"Mantenópolis",842,48349,17857,73.03
"Pedro Canário",1741,99635,36957,72.94
"Rio Novo do Sul",735,42194,15788,72.77
"Itaguaçu",809,46354,17478,72.62
"Alto Rio Novo",592,34215,12905,72.61
"Água Doce do Norte",794,46011,17543,72.4
"Iconha",532,30705,12023,71.86
"Conceição do Castelo",819,46937,18843,71.35
"Muqui",1003,61127,24737,71.19
"Águia Branca",1045,62995,25597,71.11
"Marilândia",558,30604,12444,71.09
"Jerônimo Monteiro",835,46813,19161,70.96
