"DIS_NOME","SER_NOME","total_alunos","taxa_acerto_pct"
"Língua Portuguesa","1º Ano EF",36443,74.24
"Língua Portuguesa","2º Ano EF",47408,75.54
"Língua Portuguesa","3º Ano EF",44385,69.46
"Língua Portuguesa","4º Ano EF",42247,59.7
"Língua Portuguesa","5º Ano EF",43256,57.87
"Língua Portuguesa","6º Ano EF",28388,55.28
"Língua Portuguesa","7º Ano EF",24600,54.55
"Língua Portuguesa","8º Ano EF",24421,54.6
"Língua Portuguesa","9º Ano EF",22185,61.29
"Matemática","1º Ano EF",36440,83.67
"Matemática","2º Ano EF",47383,81.5
"Matemática","3º Ano EF",44387,71.66
"Matemática","4º Ano EF",42236,65.86
"Matemática","5º Ano EF",43230,59.47
"Matemática","6º Ano EF",28359,48.93
"Matemática","7º Ano EF",24565,42.39
"Matemática","8º Ano EF",24414,38.89
"Matemática","9º Ano EF",22188,39.77
