"MTI_CODIGO","descritor_resumido","acertos","erros","taxa_acerto_pct"
"M070","Identificar quadriláteros observando as posições relativas e",5825,21007,21.71
"M065","Resolver problema envolvendo o cálculo do perímetro de figur",15735,52709,22.99
"M094","Identificar números primos",5504,17830,23.59
"M064","Resolver problema envolvendo o cálculo de perímetro de figur",16901,50676,25.01
"M076","Resolver problema utilizando propriedades dos polígonos (som",11317,32927,25.58
"M027","Resolver situação problema utilizando mínimo múltiplo comum ",6053,17124,26.12
"M028","Identificar a expressão algébrica que expressa uma regularid",11771,32473,26.6
"M023","Identificar frações equivalentes.",37219,97609,27.6
"M022","Efetuar cálculos simples com valores aproximados de radicais",5837,15156,27.8
"M018","Reconhecer as diferentes representações de números racionais",58448,148068,28.3
